,produt_name,original_price,size
0,Retread,$12.00, 3.5 fl. oz.
1,American Cream,$12.00, 3.5 fl. oz.
2,Big,$12.00, 3.5 fl. oz.
3,The Golden Cap,$12.00, 3.5 fl. oz.
4,Candy Rain,$12.00, 3.5 fl. oz.
5,Happy Happy Joy Joy,$12.00, 3.5 fl. oz.
6,American Cream,$12.00, 3.5 fl. oz.
7,Veganese,$12.00, 3.5 fl. oz.
8,Glory,$12.00, 3.5 fl. oz.
9,Power,$12.00, 3.5 fl. oz.
10,Avocado,$12.00, 3.5 fl. oz.
